	gene_id	gene_name	location	lncRNA ID	simplified_biotype	gene_class	w0 TPM	w1 TPM	w2 TPM	w3 TPM	w4 TPM	w5 TPM	tcons_id	xloc_id	mappable_genomes	annotated_genomes	expressed_genomes
12669	CATG00000055268.1		chr1:23645034-23648156 (+)		lncRNA	lncRNA, antisense	1.03	0.11	1.15	0.915	0.12	0.03	TCONS_00004189	XLOC_000416	hg19,panTro4,ponAbe2,rheMac8	hg19,panTro4,ponAbe2,rheMac8	hg19
13650	CATG00000058305.1		chr22:24232437-24316672 (-)		other	uncertain coding	1.295	2.425	9.11	1.185	2.595	0.85	TCONS_00392132	XLOC_041536	hg19,rheMac8	hg19,rheMac8	hg19
13651	CATG00000058305.1		chr22:24232437-24316672 (-)		other	uncertain coding	1.295	2.425	9.11	1.185	2.595	0.85	TCONS_00392133	XLOC_041536	hg19,rheMac8	hg19,rheMac8	hg19
13654	CATG00000058305.1		chr22:24232437-24316672 (-)		other	uncertain coding	1.295	2.425	9.11	1.185	2.595	0.85	TCONS_00392125	XLOC_041536	hg19,rheMac8	hg19,rheMac8	hg19
13656	CATG00000058305.1		chr22:24232437-24316672 (-)		other	uncertain coding	1.295	2.425	9.11	1.185	2.595	0.85	TCONS_00392127	XLOC_041536	hg19,rheMac8	hg19,rheMac8	hg19
13657	CATG00000058305.1		chr22:24232437-24316672 (-)		other	uncertain coding	1.295	2.425	9.11	1.185	2.595	0.85	TCONS_00392126	XLOC_041536	hg19,rheMac8	hg19,rheMac8	hg19
13659	CATG00000058305.1		chr22:24232437-24316672 (-)		other	uncertain coding	1.295	2.425	9.11	1.185	2.595	0.85	TCONS_00392128	XLOC_041536	hg19,rheMac8	hg19,rheMac8	hg19
13661	CATG00000058305.1		chr22:24232437-24316672 (-)		other	uncertain coding	1.295	2.425	9.11	1.185	2.595	0.85	TCONS_00392136	XLOC_041536	hg19,rheMac8	hg19,rheMac8	hg19
14370	CATG00000061421.1		chr3:115509858-116089066 (.)		other	uncertain coding	1.49	3.7	6.635	3.46	3.38	2.555	TCONS_00408211	XLOC_043166	hg19,panTro4,ponAbe2,rheMac8	hg19,panTro4,ponAbe2,rheMac8	hg19
14381	CATG00000061421.1		chr3:115509858-116089066 (.)		other	uncertain coding	1.49	3.7	6.635	3.46	3.38	2.555	TCONS_00426996	XLOC_045197	hg19	hg19	hg19
15835	CATG00000068540.1		chr4:47831255-47910943 (.)		lncRNA	lncRNA, antisense	2.685	1.77	2.09	1.75	1.82	1.545	TCONS_00439757	XLOC_046594	hg19,panTro4,ponAbe2,rheMac8	hg19,panTro4,ponAbe2,rheMac8	hg19
15836	CATG00000068540.1		chr4:47831255-47910943 (.)		lncRNA	lncRNA, antisense	2.685	1.77	2.09	1.75	1.82	1.545	TCONS_00439758	XLOC_046594	hg19,panTro4,ponAbe2,rheMac8	hg19,panTro4,ponAbe2,rheMac8	hg19
15837	CATG00000068540.1		chr4:47831255-47910943 (.)		lncRNA	lncRNA, antisense	2.685	1.77	2.09	1.75	1.82	1.545	TCONS_00439759	XLOC_046594	hg19,panTro4,ponAbe2,rheMac8	hg19,panTro4,ponAbe2,rheMac8	hg19
15855	CATG00000068593.1		chr4:53864012-53989029 (.)		lncRNA	lncRNA, antisense	0.55	0.675	1.195	0.875	0.65	0.59	TCONS_00453625	XLOC_048390	hg19	hg19	hg19
16241	CATG00000070850.1		chr4:164607693-164851025 (.)		lncRNA	lncRNA, antisense	0.095	0.565	0.585	0.785	1.275	1.43	TCONS_00460633	XLOC_049288	hg19	hg19	hg19
16997	CATG00000073777.1		chr1:121484052-121485394 (-)		lncRNA	lncRNA, intergenic	0.165	0.91	1.76	2.425	3.66	1.555	TCONS_00045555	XLOC_004773	hg19	hg19	hg19
16999	CATG00000073777.1		chr1:121484052-121485394 (-)		lncRNA	lncRNA, intergenic	0.165	0.91	1.76	2.425	3.66	1.555	TCONS_00045551	XLOC_004773	hg19	hg19	hg19
17001	CATG00000073777.1		chr1:121484052-121485394 (-)		lncRNA	lncRNA, intergenic	0.165	0.91	1.76	2.425	3.66	1.555	TCONS_00045552	XLOC_004773	hg19	hg19	hg19
17258	CATG00000074884.1		chr1:147992351-148026028 (-)		other	uncertain coding	0.975	1.245	1.645	1.515	1.24	1.745	TCONS_00046140	XLOC_004844	hg19,panTro4	hg19,panTro4	hg19
17259	CATG00000074884.1		chr1:147992351-148026028 (-)		other	uncertain coding	0.975	1.245	1.645	1.515	1.24	1.745	TCONS_00046144	XLOC_004844	hg19	hg19	hg19
18272	CATG00000079532.1		chr5:36742677-36877198 (-)		lncRNA	lncRNA, divergent	0.485	1.085	1.32	1.5	1.965	2.04	TCONS_00480663	XLOC_051891	hg19,panTro4,ponAbe2,rheMac8	hg19,panTro4,ponAbe2,rheMac8	hg19
18275	CATG00000079532.1		chr5:36742677-36877198 (-)		lncRNA	lncRNA, divergent	0.485	1.085	1.32	1.5	1.965	2.04	TCONS_00480654	XLOC_051891	hg19	hg19	hg19
18539	CATG00000080702.1		chr5:102154381-102192180 (.)		lncRNA	lncRNA, antisense	0.755	0.68	1.415	1.22	1.205	0.745	TCONS_00470004	XLOC_050500	hg19	hg19	hg19
18731	CATG00000081733.1		chr5:155559696-155807551 (.)		lncRNA	lncRNA, antisense	0.015	0.225	0.515	0.635	0.865	1.205	TCONS_00475520	XLOC_051177	hg19	hg19	hg19
19270	CATG00000083976.1		chr6:46159056-46397991 (.)		lncRNA	lncRNA, antisense	0.59	0.705	1.35	0.745	0.93	0.665	TCONS_00516512	XLOC_056352	hg19	hg19	hg19
19512	CATG00000085276.1		chr6:108581713-108590505 (+)		lncRNA	lncRNA, divergent	1.34	1.175	0.93	0.86	0.705	0.895	TCONS_00503740	XLOC_054833	hg19,panTro4,ponAbe2,rheMac8	hg19,panTro4,ponAbe2,rheMac8	hg19
19627	CATG00000085853.1		chr6:128299557-128453060 (.)		lncRNA	lncRNA, divergent	2.055	2.27	3.76	2.405	2.555	1.155	TCONS_00505532	XLOC_055096	hg19,panTro4,rheMac8	hg19,panTro4,rheMac8	hg19
19628	CATG00000085853.1		chr6:128299557-128453060 (.)		lncRNA	lncRNA, divergent	2.055	2.27	3.76	2.405	2.555	1.155	TCONS_00505533	XLOC_055096	hg19,panTro4,rheMac8	hg19,panTro4,rheMac8	hg19
22220	CATG00000097388.1		chr7:145767945-145982755 (.)		lncRNA	lncRNA, antisense	0.61	0.27	1.02	0.755	0.89	1.35	TCONS_00554908	XLOC_060852	hg19,panTro4,ponAbe2,rheMac8	hg19,panTro4,ponAbe2,rheMac8	hg19
22221	CATG00000097388.1		chr7:145767945-145982755 (.)		lncRNA	lncRNA, antisense	0.61	0.27	1.02	0.755	0.89	1.35	TCONS_00554907	XLOC_060852	hg19,panTro4,ponAbe2	hg19,panTro4,ponAbe2	hg19
22222	CATG00000097388.1		chr7:145767945-145982755 (.)		lncRNA	lncRNA, antisense	0.61	0.27	1.02	0.755	0.89	1.35	TCONS_00554906	XLOC_060852	hg19,panTro4,ponAbe2	hg19,panTro4,ponAbe2	hg19
22223	CATG00000097388.1		chr7:145767945-145982755 (.)		lncRNA	lncRNA, antisense	0.61	0.27	1.02	0.755	0.89	1.35	TCONS_00554905	XLOC_060852	hg19,panTro4,ponAbe2	hg19,panTro4,ponAbe2	hg19
22224	CATG00000097388.1		chr7:145767945-145982755 (.)		lncRNA	lncRNA, antisense	0.61	0.27	1.02	0.755	0.89	1.35	TCONS_00540159	XLOC_059117	hg19	hg19	hg19
22225	CATG00000097388.1		chr7:145767945-145982755 (.)		lncRNA	lncRNA, antisense	0.61	0.27	1.02	0.755	0.89	1.35	TCONS_00540171	XLOC_059117	hg19	hg19	hg19
22226	CATG00000097388.1		chr7:145767945-145982755 (.)		lncRNA	lncRNA, antisense	0.61	0.27	1.02	0.755	0.89	1.35	TCONS_00540161	XLOC_059117	hg19	hg19	hg19
22227	CATG00000097388.1		chr7:145767945-145982755 (.)		lncRNA	lncRNA, antisense	0.61	0.27	1.02	0.755	0.89	1.35	TCONS_00540170	XLOC_059119	hg19	hg19	hg19
22694	CATG00000099157.1		chr8:65603363-65779532 (.)		protein_coding	protein coding mRNAs	0.29	1.15	2.26	0.985	0.45	0.635	TCONS_00573471	XLOC_063311	hg19	hg19	hg19
23537	CATG00000103035.1		chr8:85533632-85654848 (.)		lncRNA	lncRNA, antisense	0.015	0.165	0.495	0.72	0.885	1.485	TCONS_00574765	XLOC_063493	hg19,panTro4,ponAbe2,rheMac8	hg19,panTro4,ponAbe2,rheMac8	hg19
23539	CATG00000103035.1		chr8:85533632-85654848 (.)		lncRNA	lncRNA, antisense	0.015	0.165	0.495	0.72	0.885	1.485	TCONS_00563813	XLOC_061970	hg19	hg19	hg19
23894	CATG00000104674.1		chr9:9141347-9339452 (.)		lncRNA	lncRNA, antisense	0.04	0.215	0.33	1.215	1.28	1.615	TCONS_00581636	XLOC_064227	hg19	hg19	hg19
25390	CATG00000111100.1		chr10:31320614-31695969 (+)		lncRNA	lncRNA, divergent	0.275	0.815	1.86	1.165	1.06	0.53	TCONS_00061155	XLOC_006640	hg19,panTro4,ponAbe2	hg19,panTro4,ponAbe2	hg19
25391	CATG00000111100.1		chr10:31320614-31695969 (+)		lncRNA	lncRNA, divergent	0.275	0.815	1.86	1.165	1.06	0.53	TCONS_00061154	XLOC_006640	hg19,panTro4,ponAbe2	hg19,panTro4,ponAbe2	hg19
28271	ENSG00000003509.11	NDUFAF7	chr2:37457862-37507642 (+)		protein_coding	protein coding mRNAs	2.185	0.945	1.005	1.235	1.19	0.79	TCONS_00316249	XLOC_032808	hg19	hg19	hg19
28550	ENSG00000004478.5	FKBP4	chr12:2903312-2918778 (+)		protein_coding	protein coding mRNAs	4.075	1.955	2.155	4.31	5.185	5.625	TCONS_00118768	XLOC_012695	hg19,panTro4,ponAbe2,rheMac8	hg19,panTro4,ponAbe2,rheMac8	hg19
28993	ENSG00000004866.14	ST7	chr7:116593373-116874257 (+)		protein_coding	protein coding mRNAs	1.02	1.61	3.17	4.01	5.64	5.15	TCONS_00537261	XLOC_058708	hg19,panTro4,ponAbe2,rheMac8	hg19,panTro4,ponAbe2,rheMac8	hg19
28994	ENSG00000004866.14	ST7	chr7:116593373-116874257 (+)		protein_coding	protein coding mRNAs	1.02	1.61	3.17	4.01	5.64	5.15	TCONS_00537260	XLOC_058708	hg19,panTro4,ponAbe2,rheMac8	hg19,panTro4,ponAbe2,rheMac8	hg19
29034	ENSG00000004866.14	ST7	chr7:116593373-116874257 (+)		protein_coding	protein coding mRNAs	1.02	1.61	3.17	4.01	5.64	5.15	TCONS_00537234	XLOC_058708	hg19	hg19	hg19
29466	ENSG00000005206.12	SPPL2B	chr19:2321522-2356600 (+)		lncRNA	lncRNA, divergent	1.13	0.985	1.5	1.125	1.11	1.38	TCONS_00279285	XLOC_029617	hg19,panTro4,ponAbe2,rheMac8	hg19,panTro4,ponAbe2,rheMac8	hg19
29492	ENSG00000005206.12	SPPL2B	chr19:2321522-2356600 (+)		lncRNA	lncRNA, divergent	1.13	0.985	1.5	1.125	1.11	1.38	TCONS_00279292	XLOC_029617	hg19,ponAbe2,rheMac8	hg19,ponAbe2,rheMac8	hg19
30053	ENSG00000005801.12	ZNF195	chr11:3360490-3400457 (-)		protein_coding	protein coding mRNAs	5.2	4.385	5.84	5.23	4.7	7.025	TCONS_00102359	XLOC_011033	hg19,panTro4,ponAbe2,rheMac8	hg19,panTro4,ponAbe2,rheMac8	hg19
30085	ENSG00000005801.12	ZNF195	chr11:3360490-3400457 (-)		protein_coding	protein coding mRNAs	5.2	4.385	5.84	5.23	4.7	7.025	TCONS_00102327	XLOC_011033	hg19,panTro4,ponAbe2,rheMac8	hg19,panTro4,ponAbe2,rheMac8	hg19
30225	ENSG00000005812.6	FBXL3	chr13:77562032-77602505 (-)		protein_coding	protein coding mRNAs	1.365	1.47	1.925	2.155	2.785	2.04	TCONS_00163135	XLOC_017641	hg19,panTro4,ponAbe2,rheMac8	hg19,panTro4,ponAbe2,rheMac8	hg19
30235	ENSG00000005812.6	FBXL3	chr13:77562032-77602505 (-)		protein_coding	protein coding mRNAs	1.365	1.47	1.925	2.155	2.785	2.04	TCONS_00163142	XLOC_017641	hg19,panTro4,ponAbe2,rheMac8	hg19,panTro4,ponAbe2,rheMac8	hg19
30283	ENSG00000005882.7	PDK2	chr17:48171832-48197373 (.)		protein_coding	protein coding mRNAs	0.935	0.635	1.01	0.725	0.98	1.27	TCONS_00242888	XLOC_025871	hg19,ponAbe2,rheMac8	hg19,ponAbe2,rheMac8	hg19
30751	ENSG00000006125.12	AP2B1	chr17:33895111-34056015 (+)		protein_coding	protein coding mRNAs	6.54	4.815	4.81	5.75	7.765	6.55	TCONS_00238872	XLOC_025496	hg19	hg19	hg19
31169	ENSG00000006607.9	FARP2	chr2:242295668-242435107 (+)		protein_coding	protein coding mRNAs	2.0	1.28	1.5	1.505	1.635	1.515	TCONS_00337105	XLOC_035111	hg19,panTro4	hg19,panTro4	hg19
31595	ENSG00000006831.9	ADIPOR2	chr12:1704138-1926898 (+)		protein_coding	protein coding mRNAs	2.465	1.77	2.085	1.805	1.525	1.175	TCONS_00118585	XLOC_012676	hg19,ponAbe2,rheMac8	hg19,ponAbe2,rheMac8	hg19
31598	ENSG00000006831.9	ADIPOR2	chr12:1704138-1926898 (+)		protein_coding	protein coding mRNAs	2.465	1.77	2.085	1.805	1.525	1.175	TCONS_00118597	XLOC_012677	hg19,panTro4	hg19,panTro4	hg19
31599	ENSG00000006831.9	ADIPOR2	chr12:1704138-1926898 (+)		protein_coding	protein coding mRNAs	2.465	1.77	2.085	1.805	1.525	1.175	TCONS_00118598	XLOC_012677	hg19,panTro4	hg19,panTro4	hg19
31625	ENSG00000006831.9	ADIPOR2	chr12:1704138-1926898 (+)		protein_coding	protein coding mRNAs	2.465	1.77	2.085	1.805	1.525	1.175	TCONS_00118577	XLOC_012674	hg19,ponAbe2	hg19,ponAbe2	hg19
32049	ENSG00000007341.14	ST7L	chr1:113016859-113163457 (-)		protein_coding	protein coding mRNAs	1.975	2.25	2.565	2.18	1.905	2.4	TCONS_00044508	XLOC_004660	hg19	hg19	hg19
32440	ENSG00000007541.10	PIGQ	chr16:616932-691087 (+)		protein_coding	protein coding mRNAs	0.74	0.785	0.935	0.605	0.72	1.475	TCONS_00208204	XLOC_022533	hg19,panTro4,ponAbe2,rheMac8	hg19,panTro4,ponAbe2,rheMac8	hg19
32441	ENSG00000007541.10	PIGQ	chr16:616932-691087 (+)		protein_coding	protein coding mRNAs	0.74	0.785	0.935	0.605	0.72	1.475	TCONS_00208205	XLOC_022533	hg19,panTro4,ponAbe2,rheMac8	hg19,panTro4,ponAbe2,rheMac8	hg19
32445	ENSG00000007541.10	PIGQ	chr16:616932-691087 (+)		protein_coding	protein coding mRNAs	0.74	0.785	0.935	0.605	0.72	1.475	TCONS_00208202	XLOC_022533	hg19,panTro4,ponAbe2,rheMac8	hg19,panTro4,ponAbe2,rheMac8	hg19
34081	ENSG00000010256.6	UQCRC1	chr3:48632846-48648299 (-)		protein_coding	protein coding mRNAs	8.425	6.585	7.97	6.765	5.98	6.88	TCONS_00421556	XLOC_044668	hg19,panTro4,ponAbe2	hg19,panTro4,ponAbe2	hg19
34083	ENSG00000010256.6	UQCRC1	chr3:48632846-48648299 (-)		protein_coding	protein coding mRNAs	8.425	6.585	7.97	6.765	5.98	6.88	TCONS_00421554	XLOC_044668	hg19,panTro4,ponAbe2,rheMac8	hg19,panTro4,ponAbe2,rheMac8	hg19
34723	ENSG00000010818.4	HIVEP2	chr6:143072227-143268741 (-)		protein_coding	protein coding mRNAs	0.405	0.735	1.28	1.43	1.68	1.905	TCONS_00523427	XLOC_057166	hg19,panTro4,ponAbe2,rheMac8	hg19,panTro4,ponAbe2,rheMac8	hg19
34724	ENSG00000010818.4	HIVEP2	chr6:143072227-143268741 (-)		protein_coding	protein coding mRNAs	0.405	0.735	1.28	1.43	1.68	1.905	TCONS_00523414	XLOC_057166	hg19,panTro4,ponAbe2,rheMac8	hg19,panTro4,ponAbe2,rheMac8	hg19
34725	ENSG00000010818.4	HIVEP2	chr6:143072227-143268741 (-)		protein_coding	protein coding mRNAs	0.405	0.735	1.28	1.43	1.68	1.905	TCONS_00523418	XLOC_057166	hg19,panTro4,ponAbe2,rheMac8	hg19,panTro4,ponAbe2,rheMac8	hg19
34726	ENSG00000010818.4	HIVEP2	chr6:143072227-143268741 (-)		protein_coding	protein coding mRNAs	0.405	0.735	1.28	1.43	1.68	1.905	TCONS_00523417	XLOC_057166	hg19,panTro4,ponAbe2,rheMac8	hg19,panTro4,ponAbe2,rheMac8	hg19
34728	ENSG00000010818.4	HIVEP2	chr6:143072227-143268741 (-)		protein_coding	protein coding mRNAs	0.405	0.735	1.28	1.43	1.68	1.905	TCONS_00523415	XLOC_057166	hg19,panTro4,ponAbe2,rheMac8	hg19,panTro4,ponAbe2,rheMac8	hg19
34730	ENSG00000010818.4	HIVEP2	chr6:143072227-143268741 (-)		protein_coding	protein coding mRNAs	0.405	0.735	1.28	1.43	1.68	1.905	TCONS_00523413	XLOC_057166	hg19,panTro4,ponAbe2,rheMac8	hg19,panTro4,ponAbe2,rheMac8	hg19
34747	ENSG00000010818.4	HIVEP2	chr6:143072227-143268741 (-)		protein_coding	protein coding mRNAs	0.405	0.735	1.28	1.43	1.68	1.905	TCONS_00523409	XLOC_057166	hg19	hg19	hg19
34816	ENSG00000011021.17	CLCN6	chr1:11862879-11912403 (+)		protein_coding	protein coding mRNAs	0.87	0.875	1.28	1.09	1.19	1.37	TCONS_00002346	XLOC_000213	hg19,panTro4,ponAbe2,rheMac8	hg19,panTro4,ponAbe2,rheMac8	hg19
35746	ENSG00000011566.10	MAP4K3	chr2:39372843-39665235 (-)		protein_coding	protein coding mRNAs	4.69	3.545	5.36	4.645	4.545	4.11	TCONS_00341432	XLOC_035603	hg19,ponAbe2,rheMac8	hg19,ponAbe2,rheMac8	hg19
35861	ENSG00000012048.15	BRCA1	chr17:41192715-41277601 (-)		protein_coding	protein coding mRNAs	2.855	2.36	2.145	2.155	1.175	1.28	TCONS_00258249	XLOC_027341	hg19,ponAbe2	hg19,ponAbe2	hg19
36308	ENSG00000012983.7	MAP4K5	chr14:50784554-51027844 (.)		protein_coding	protein coding mRNAs	4.065	5.54	7.47	6.67	6.66	4.895	TCONS_00180194	XLOC_019530	hg19	hg19	hg19
36338	ENSG00000012983.7	MAP4K5	chr14:50784554-51027844 (.)		protein_coding	protein coding mRNAs	4.065	5.54	7.47	6.67	6.66	4.895	TCONS_00180180	XLOC_019530	hg19,panTro4,ponAbe2,rheMac8	hg19,panTro4,ponAbe2,rheMac8	hg19
37464	ENSG00000015676.13	NUDCD3	chr7:44288862-44530504 (-)		protein_coding	protein coding mRNAs	4.0	3.825	4.265	4.73	5.685	6.16	TCONS_00546249	XLOC_059804	hg19,panTro4,ponAbe2	hg19,panTro4,ponAbe2	hg19
37576	ENSG00000016864.12	GLT8D1	chr3:52723012-52740363 (-)		protein_coding	protein coding mRNAs	2.385	2.205	2.085	2.075	1.91	1.765	TCONS_00423104	XLOC_044750	hg19	hg19	hg19
37699	ENSG00000017373.11	SRCIN1	chr17:36681174-36765037 (-)		protein_coding	protein coding mRNAs	0.725	0.53	0.905	0.9	1.325	1.64	TCONS_00256639	XLOC_027165	hg19	hg19	hg19
37701	ENSG00000017373.11	SRCIN1	chr17:36681174-36765037 (-)		protein_coding	protein coding mRNAs	0.725	0.53	0.905	0.9	1.325	1.64	TCONS_00256636	XLOC_027165	hg19	hg19	hg19
37879	ENSG00000018236.10	CNTN1	chr12:41086078-41470570 (+)		protein_coding	protein coding mRNAs	0.19	0.235	0.785	1.625	2.655	2.56	TCONS_00123308	XLOC_013187	hg19,panTro4,ponAbe2,rheMac8	hg19,panTro4,ponAbe2,rheMac8	hg19
37887	ENSG00000018236.10	CNTN1	chr12:41086078-41470570 (+)		protein_coding	protein coding mRNAs	0.19	0.235	0.785	1.625	2.655	2.56	TCONS_00123304	XLOC_013187	hg19,panTro4,ponAbe2	hg19,panTro4,ponAbe2	hg19
38311	ENSG00000020426.6	MNAT1	chr14:61189764-61559430 (+)		protein_coding	protein coding mRNAs	3.85	3.5	4.3	3.815	4.12	2.93	TCONS_00170026	XLOC_018579	hg19,panTro4,ponAbe2,rheMac8	hg19,panTro4,ponAbe2,rheMac8	hg19
38945	ENSG00000023191.12	RNH1	chr11:494442-507309 (-)		protein_coding	protein coding mRNAs	1.105	1.285	1.43	1.315	1.42	2.04	TCONS_00101282	XLOC_010958	hg19	hg19	hg19
39260	ENSG00000023902.9	PLEKHO1	chr1:150055837-150162472 (+)		protein_coding	protein coding mRNAs	1.175	1.875	2.34	1.66	1.63	2.585	TCONS_00017179	XLOC_001786	hg19,panTro4,ponAbe2,rheMac8	hg19,panTro4,ponAbe2,rheMac8	hg19
39740	ENSG00000026025.9	VIM	chr10:17258461-17282150 (+)		protein_coding	protein coding mRNAs	37.91	45.99	82.01	112.71	89.465	84.575	TCONS_00059972	XLOC_006472	hg19,panTro4,rheMac8	hg19,panTro4,rheMac8	hg19
39774	ENSG00000026297.11	RNASET2	chr6:167316044-167413416 (-)		protein_coding	protein coding mRNAs	0.755	0.475	0.64	1.13	0.875	0.98	TCONS_00525349	XLOC_057399	hg19	hg19	hg19
39901	ENSG00000026652.9	AGPAT4	chr6:161537479-161695657 (-)		protein_coding	protein coding mRNAs	2.16	2.595	3.485	2.555	2.38	2.87	TCONS_00524864	XLOC_057352	hg19,panTro4,ponAbe2,rheMac8	hg19,panTro4,ponAbe2,rheMac8	hg19
40296	ENSG00000028310.13	BRD9	chr5:696952-892932 (-)		protein_coding	protein coding mRNAs	2.26	2.16	2.6	3.0	3.005	3.035	TCONS_00478579	XLOC_051612	hg19,panTro4,ponAbe2,rheMac8	hg19,panTro4,ponAbe2,rheMac8	hg19
40297	ENSG00000028310.13	BRD9	chr5:696952-892932 (-)		protein_coding	protein coding mRNAs	2.26	2.16	2.6	3.0	3.005	3.035	TCONS_00478578	XLOC_051612	hg19,panTro4,ponAbe2,rheMac8	hg19,panTro4,ponAbe2,rheMac8	hg19
40374	ENSG00000028839.5	TBPL1	chr6:134273166-134350862 (.)		protein_coding	protein coding mRNAs	5.095	4.34	4.425	4.61	5.535	3.79	TCONS_00505999	XLOC_055160	hg19,panTro4,ponAbe2,rheMac8	hg19,panTro4,ponAbe2,rheMac8	hg19
40394	ENSG00000028839.5	TBPL1	chr6:134273166-134350862 (.)		protein_coding	protein coding mRNAs	5.095	4.34	4.425	4.61	5.535	3.79	TCONS_00506035	XLOC_055160	hg19,panTro4	hg19,panTro4	hg19
40733	ENSG00000030582.12	GRN	chr17:42422494-42432561 (+)		protein_coding	protein coding mRNAs	2.265	1.1	1.405	1.26	1.005	1.1	TCONS_00241350	XLOC_025735	hg19,panTro4,ponAbe2,rheMac8	hg19,panTro4,ponAbe2,rheMac8	hg19
